State,2014,2015,2016,2017,2018,2019,2020
Alabama,53070,55920,55920,62250,59900,66430,63980
Alaska,84900,94360,94290,95440,82450,92670,87440
Arizona,61830,65640,71100,73060,74710,83540,78480
Arkansas,56390,53770,57170,60880,60880,64470,59400
California,75930,79940,82980,85710,84560,92330,90840
Colorado,76500,83660,87870,91760,87610,85700,98010
Connecticut,88080,91570,94540,90930,87340,103200,92930
Delaware,72210,72560,72280,79500,77990,87700,81920
District of Columbia,85710,88030,88390,99470,102900,110100,103200
Florida,57920,61340,63730,64960,65550,69000,67570
Georgia,62210,63780,66650,70960,66960,66940,69330
Hawaii,89410,81050,89820,90070,96100,104000,94560
Idaho,67080,64850,70440,72810,70450,78000,78060
Illinois,68940,75900,76440,80730,84140,87950,86960
Indiana,60330,65310,69850,71920,71850,78840,78150
Iowa,72570,76450,73590,77670,82430,78080,80510
Kansas,67090,68930,70740,69630,76700,86470,85500
Kentucky,53710,53250,56500,60790,65440,65800,66400
Louisiana,53230,57690,52540,53310,59950,61120,59880
Maine,64910,63760,63330,65240,70370,78660,74510
Maryland,95610,92450,91850,100500,103400,113000,110900
Massachusetts,79280,85250,89990,93300,103600,103700,102700
Michigan,65280,68090,71090,69030,72510,75790,75330
Minnesota,84410,86340,87440,85630,86150,96250,92130
Mississippi,44590,50300,51180,52960,51320,52940,52800
Missouri,71090,74370,68510,69180,74050,71630,72740
Montana,64150,64570,71070,70250,69190,71150,66380
Nebraska,71390,75970,73930,72910,81060,86370,84520
Nevada,62610,65340,69020,71030,74210,83820,71550
New Hampshire,92140,95070,94960,92550,97580,102700,104000
New Jersey,81900,85880,85260,87180,88980,103700,100100
New Mexico,58610,56680,60330,55800,57920,62780,59550
New York,68180,72870,76500,75310,80700,84940,80320
North Carolina,58730,63820,66950,60630,64020,72290,70700
North Dakota,76240,72130,74940,73630,79780,82780,75010
Ohio,62320,66960,67220,74270,73930,76440,70640
Oklahoma,59250,59140,63440,63490,65300,70210,61380
Oregon,73910,76420,73640,76480,82970,87960,89910
Pennsylvania,69260,75870,75930,75000,77400,83430,82810
Rhode Island,73600,69980,76620,80030,74690,82920,93790
South Carolina,56400,58240,67660,66740,68910,73320,70590
South Dakota,66600,69180,71540,69650,71330,75950,82110
Tennessee,54880,59460,63940,67680,67250,66940,64310
Texas,67630,70950,72410,73540,71720,79720,80020
Utah,79570,83240,84030,85400,92450,99910,98260
Vermont,76210,74740,75760,77930,84050,87830,78680
Virginia,83050,77240,82750,86650,92550,96120,96180
Washington,74150,84480,87550,87550,95640,97470,95180
West Virginia,49650,53800,55230,57460,60670,63480,60800
Wisconsin,72910,69630,74490,77690,75130,79620,78860
Wyoming,69910,76540,72010,72860,75020,76990,76570
